V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V13,V19,V22,V30,V33,V35,V36,V40,V41,V42,V43,V45,V47,V50,V51,V52,V59,V63,V72,V75,class
0.0,1.0,243.0,29,4528.0,138.0,3.0,29,201.0,0.0,3,29.0,7,2,4,0,9,7,4.0,3,14.0,185.0,2,3,71.0,0,0,46.0,1,2,0,1
0.0,20.0,8.0,14,4183.0,183.0,4.0,26,156.0,0.0,2,23.0,3,2,1,3,8,6,9.0,3,5.0,96.0,5,7,20.0,0,2,13.0,9,6,0,1
14.0,2.0,2.0,9,1113.0,15.0,37.0,31,78.0,1.0,3,9.0,4,2,4,3,8,5,16.0,0,3.0,0.0,7,5,11.0,0,0,7.0,9,2,1,0
0.0,175.0,17.0,16,4250.0,68.0,8.0,30,152.0,0.0,5,16.0,7,2,1,2,9,6,0.0,0,8.0,52.0,1,3,0.0,1,1,31.0,6,4,5,1
2.0,-1.0,1.0,3,0.0,0.0,2.0,5,6.0,1.0,1,0.0,4,2,5,3,8,6,6.0,0,6.0,1397.0,1,5,0.0,0,0,2.0,8,0,1,1
1.0,405.0,1.0,4,1573.0,35.0,2.0,9,35.0,0.0,1,4.0,7,2,0,1,9,6,1.0,3,2.0,69.0,1,5,2.0,2,1,195.0,8,1,4,1
2.0,263.0,14.0,13,1248.0,57.0,2.0,49,49.0,1.0,1,18.0,7,2,1,0,9,7,20.0,1,15.0,140.0,1,5,111.0,4,1,2.0,6,2,0,1
1.0,3.0,2.0,15,567.0,33.0,4.0,33,61.0,1.0,2,15.0,7,2,1,1,1,6,13.0,3,5.0,0.0,1,3,16.0,3,1,1.0,6,0,1,1
0.0,0.0,24.0,6,1552.0,89.0,1.0,18,23.0,0.0,1,6.0,7,2,7,3,9,7,10.0,1,33.0,29.0,1,3,5.0,2,1,3.0,2,1,7,1
0.0,0.0,2.0,1,3615.0,17.0,4.0,2,43.0,0.0,2,1.0,9,2,1,2,9,6,1.0,3,10.0,4.0,4,5,3.0,1,0,2.0,8,8,1,0
0.0,190.0,4.0,5,1416.0,7.0,1.0,7,7.0,0.0,1,5.0,7,2,1,2,1,7,24.0,2,9.0,58.0,1,3,3.0,0,1,7.0,7,2,0,0
5.0,0.0,2.0,0,4.0,0.0,90.0,14,104.0,2.0,26,0.0,7,2,4,0,9,6,5.0,3,11.0,4.0,0,8,8.0,1,0,60.0,6,1,4,0
3.0,19.0,5.0,5,8.0,4.0,3.0,5,5.0,1.0,1,4.0,9,2,0,1,9,7,9.0,3,11.0,140.0,1,3,40.0,0,1,3.0,7,1,7,1
4.0,103.0,2.0,11,18.0,13.0,7.0,31,78.0,1.0,2,11.0,9,2,1,3,9,8,34.0,3,5.0,0.0,5,10,45.0,3,1,2.0,7,7,1,0
0.0,1.0,10.0,3,18004.0,298.0,16.0,3,79.0,0.0,1,3.0,3,2,4,3,9,1,5.0,1,35.0,379.0,1,5,40.0,1,0,5.0,6,2,1,1
3.0,229.0,16.0,5,21.0,15.0,3.0,4,5.0,2.0,2,5.0,9,2,0,2,9,6,3.0,3,1.0,6.0,1,3,4.0,0,2,1.0,8,1,0,0
0.0,1.0,8.0,7,3934.0,117.0,48.0,14,43.0,0.0,5,7.0,4,2,4,0,9,8,3.0,3,1.0,2.0,1,8,0.0,13,0,2.0,7,0,0,0
1.0,3.0,9.0,1,5.0,7.0,15.0,1,8.0,1.0,7,1.0,4,2,1,1,9,7,4.0,3,2.0,4.0,1,3,5.0,4,1,0.0,6,4,3,0
0.0,120.0,27.0,2,8843.0,481.0,2.0,6,120.0,0.0,1,6.0,3,2,0,0,9,7,13.0,0,3.0,189.0,1,0,1.0,1,0,7.0,8,2,15,1
0.0,0.0,4.0,4,4201.0,14.0,2.0,14,45.0,0.0,2,4.0,6,2,3,1,9,6,3.0,3,9.0,10.0,8,8,13.0,9,0,0.0,7,0,0,0
1.0,1.0,1.0,9,1293.0,122.0,4.0,46,315.0,1.0,3,9.0,4,2,0,3,1,7,25.0,1,13.0,8.0,5,3,1.0,1,1,67.0,6,0,2,0
0.0,0.0,4.0,17,2147.0,281.0,9.0,15,374.0,0.0,2,26.0,4,2,1,2,9,6,17.0,2,36.0,9.0,0,8,0.0,1,0,99.0,4,1,1,0
